연도,분기,총_디저트_매출,평균_디저트_매출,행정동_수,평균_디저트_비중,연분기,CPI,inflation_mom,expected_inflation,CPI_qoq,CPI_yoy
2020,1,315023023433.5,764618988.9162621,412,0.03825463143809446,2020-Q1,100.06333333333333,0.10000000000000002,1.8,0.004651941097724377,0.009666482799445486
2020,2,346375643707.5,838681946.0230024,413,0.03904778916246184,2020-Q2,99.55,-0.0666666666666667,1.7333333333333334,-0.005130084279956093,8.70660094298703e-05
2020,3,341809566855.0,825626973.0797101,414,0.03958413219766828,2020-Q3,100.18666666666667,0.3333333333333333,1.8,0.006395446174451758,0.007218353518360976
2020,4,315038385137.5,760962282.9408213,414,0.03809974351946578,2020-Q4,100.21000000000001,-0.16666666666666666,1.8333333333333333,0.0002328985893000901,0.006124497991967903
2021,1,387638710079.0,927365335.1172249,418,0.042053950315313976,2021-Q1,101.48666666666668,0.5,1.9666666666666668,0.012739912849682344,0.014224324594423576
2021,2,470659615073.5,1125979940.367225,418,0.04522377842599331,2021-Q2,102.02666666666666,0.06666666666666667,2.1333333333333333,0.0053208960126123195,0.024878620458730794
2021,3,457185653595.5,1091135211.4451075,419,0.04535601886450688,2021-Q3,102.72666666666667,0.3666666666666667,2.3666666666666667,0.006860951385258884,0.02535267500665439
2021,4,490489624409.5,1170619628.6622913,419,0.04419266046954117,2021-Q4,103.95500000000001,0.3,2.6,0.01195729768317233,0.037371519808402365
2022,1,435285531166.0,1038867616.1479714,419,0.04493603120194457,2022-Q1,105.45666666666666,0.6333333333333333,2.8000000000000003,0.014445352957208835,0.039118439203836175
2022,2,526665100346.5,1253964524.6345239,420,0.04539659532070169,2022-Q2,107.51333333333332,0.6666666666666666,3.533333333333333,0.01950248127192844,0.05377679038159955
2022,3,524714169222.0,1249319450.5285714,420,0.0458245291376976,2022-Q3,108.72666666666667,0.19999999999999998,5.1,0.011285421963167508,0.058407424232591376
2022,4,517375364292.0,1231846105.4571428,420,0.04355156930327496,2022-Q4,109.16499999999999,0.13333333333333333,5.1000000000000005,0.00403151634067056,0.05011783944976167
2023,1,490303209902.0,1167388595.004762,420,0.041412988205685536,2023-Q1,110.30666666666666,0.3666666666666667,5.1000000000000005,0.0104581749339685,0.045990454215001364
2023,2,525224635524.5,1250534846.4869049,420,0.04441983580775081,2023-Q2,111.02,0.16666666666666666,4.733333333333333,0.006466819775172272,0.03261610962981343
2023,3,515415385912.0,1227179490.2666667,420,0.044120198222390314,2023-Q3,112.14,0.5,4.2,0.010088272383354413,0.031393708995033354
2023,4,510184252151.0,1214724409.8833334,420,0.04230940033496228,2023-Q4,112.70500000000001,-0.033333333333333326,4.0,0.005038344925985427,0.03242797599963376
2024,1,483851452846.5,1152027268.682143,420,0.04176612473721084,2024-Q1,113.63333333333333,0.3333333333333333,3.7999999999999994,0.008236842494417473,0.030158346428139637
2024,2,529526174921.5,1260776606.9559524,420,0.045315925130092354,2024-Q2,113.98333333333333,0.0,3.766666666666667,0.0030800821355236874,0.026691887347625176
2024,3,508812001560.5,1211457146.572619,420,0.04457531037311091,2024-Q3,114.44,0.26666666666666666,3.5,0.004006433689135891,0.020510076689852053
2024,4,508033703251.5,1209604055.3607142,420,0.043917014664841124,2024-Q4,114.655,0.03333333333333335,3.3,0.0018787137364557616,0.01730180559868666
