,총_디저트_매출,평균_디저트_매출,평균_디저트_비중,CPI,inflation_mom,expected_inflation,CPI_qoq,CPI_yoy
총_디저트_매출,1.0,0.9999515888619049,0.834680178147667,0.8211947769781769,0.21117458603491535,0.8024057392778665,0.3482535016669725,0.7553870351579094
평균_디저트_매출,0.9999515888619049,1.0,0.8344976678521835,0.8194171329695425,0.2071322165143301,0.8013552216475271,0.3446215430255541,0.7543628290728465
평균_디저트_비중,0.834680178147667,0.8344976678521835,1.0,0.5011337507658533,0.3817212342271489,0.4752467743098649,0.4707630893435167,0.6633352996705415
CPI,0.8211947769781769,0.8194171329695425,0.5011337507658533,1.0,0.03592820056781029,0.7757141175020423,0.08273094544382442,0.456320603088765
inflation_mom,0.21117458603491535,0.2071322165143301,0.3817212342271489,0.03592820056781029,1.0,0.10965477798214776,0.866407764621943,0.4323400816621896
expected_inflation,0.8024057392778665,0.8013552216475271,0.4752467743098649,0.7757141175020423,0.10965477798214776,1.0,0.2466477689256037,0.7814124775539436
CPI_qoq,0.3482535016669725,0.3446215430255541,0.4707630893435167,0.08273094544382442,0.866407764621943,0.2466477689256037,1.0,0.6618609690601296
CPI_yoy,0.7553870351579094,0.7543628290728465,0.6633352996705415,0.456320603088765,0.4323400816621896,0.7814124775539436,0.6618609690601296,1.0
