모델,RMSE,MAE,R2
Baseline,0.004958562309459066,0.0029405582633537054,0.07081309446537087
Full_OLS,0.004937784232134942,0.002921088511574018,0.07858400275873478
Full_FE,0.0051216922617211,0.0030494216891241745,0.008669446997768837
