변수,계수,표준오차,p-value,유의성
Intercept,0.008112617367997642,0.0028063735836981515,0.0038428322448132188,***
lag4_비중,-0.04289825406490429,0.015397743605069016,0.0053361370874651995,***
성장률,-0.006024656905778469,0.0008596939829528013,2.41906642908196e-12,***
month_sin,0.0013207439629451096,0.00012276771787771837,5.429411312712545e-27,***
month_cos,-0.0006992807633013112,0.0001400767473950854,5.971829507007374e-07,***
infl_shock_ma,-0.11531788284808508,0.03728278306466357,0.0019810411640838513,***
infl_shock_ma_lag1,0.10081715489554802,0.03644925200002607,0.005675558273744767,***
