train_years,test_year,RMSE,MAE,R2
2020~2021,2022,0.01351359044632382,0.006556550878495703,0.8861387214359459
2020~2022,2023,0.009690826021947084,0.00491049837710036,0.9420715417653226
2020~2023,2024,0.019763923824290795,0.005444176395257174,0.8577634397272469
평균,-,0.014322780097520568,0.005637075216951078,0.8953245676428384
표준편차,-,0.005085067920155871,0.0008398093092456401,0.042898121698020285
