실험,RMSE,R2
VIF_TrackA_lag1만,0.018754451757547724,0.8719222632287404
VIF_TrackB_PCA2,0.04986172945375802,0.09468529564256811
VIF_TrackC_Ridge,0.018735008307884552,0.872187691637945
VIF_TrackC_Lasso,0.019959792248362935,0.8549302269178181
VIF_TrackC_ElasticNet,0.01975774326797889,0.8578523859934183
